Facility Code,Facility UID,State Unique ID,Registration No,Alternate Name,Start Date,Ownership,Ownership Type,Facility Level,Facility Level Option,Days of Operation,Hours of Operation,State,LGA,Ward,Physical Location,Postal Address,Longitude,Latitude,Phone Number,Alternate Number,Email Address,Website,Operational Status,Registration Status,License Status,Out Patient Services,In Patient Services,Medical Services,Surgical Services,Obsterics and Gynecology Services,Pediatrics Services,Dental Services,Specific Clinical Services,Total number of Beds,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Mortuary Services,Ambulance Services,Number of Doctors,Number of Pharmacists,Number Pharmacy Technicians,Number of Dentists,Number of Dental Technicians,Number of Nurses,Number of Midwifes,Number of Nurses/Midwifes,Number of Lab Technicians,Number of Lab Scientits,Health Records/HIM Officers,Number of Community Health Officer,Number of Community Health Extension Worker,Number of Junior Com Health Extension Worker,Number of Environmental Health Officers,Number of Health Attendant/Assistant:
04/01/1/1/2/0027,72067353,72067353,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Achina I,,,7.11524,5.98427,0803-939-2436,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",32,Yes,,Yes,,No,2,,,,,,1,2,3,1,,,,,,9
04/01/1/1/1/0028,78549523,78549523,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Achina I,Near oye Achina Round about,,7.11189,5.96482,0803-050-2353,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,,,Yes,,No,,,,,,,,1,,,,,1,,,
04/01/1/2/2/0075,28996672,28996672,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Achina I,,,7.11524,5.96749,0806-201-8344,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",8,Yes,No,Yes,No,No,1,,,1,,1,1,,1,,,,,,,4
04/01/1/1/1/0013,52265267,52265267,,,1996-01-04,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Achina II,Near community secondary school Achina,,6.99727,5.97371,0803-392-5734,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",5,,,,,No,,,,,,,1,,,,,,,1,,
04/01/1/1/1/0090,64170621,64170621,,,2000-01-04,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8HRS,Anambra,Aguata,Agulu Ezechukwu,,,7.10433876,6.01351884,0802-600-6865,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization",3,No,No,Yes,No,No,,,,,,,,,,,,,1,,,1
04/01/1/1/1/0089,47592023,47592023,,,2001-01-04,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Agulu Ezechukwu,opposite saint Barnabas Anglican church obiofia,,7.12908,6.131926,0703-301-5698,,,,Operational,Registered,Licensed,,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,No,No,Yes,No,No,,,,,,,,,,,,,1,,,1
04/01/1/2/2/0071,68105375,68105375,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Akpo,,,7.10569,5.96127,0810-119-9121,,,,Operational,Registered,Licensed,,,,,,,,,,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,3
04/01/1/1/1/0010,45439715,45439715,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Amesi,Beside Ascon hall Amuwo Amesi,,7.09816,5.95535,0802-600-6865,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",8,,,,,No,,,,,,,,,,,,,2,,,
04/01/1/1/1/0003,82593297,82593297,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,Inside L.G.A,,7.09243,6.01411,0803-544-0099,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",8,,,Yes,,No,,,,,,1,1,1,,,,,1,1,1,
04/01/1/2/2/0084,43462356,43462356,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.08699,6.01747,0703-637-6107,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,7,No,No,Yes,No,No,2,,,2,,,,,,,,,,,,4
04/01/1/1/2/0005,79881461,79881461,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.08666,6.01786,0803-931-6186,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,10,Yes,,Yes,,No,2,,,,,1,1,1,2,,,,5,,,4
04/01/1/1/2/0010,15208431,15208431,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.08276,5.955977,0816-404-7222,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",8,Yes,,Yes,,No,2,,,,,1,,,1,,,,,,,5
04/01/1/2/2/0077,54743004,54743004,,,2019-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.082786,5.955548,0806-027-9755,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",15,Yes,No,Yes,No,Yes,21,,,21,,1,1,,,,,,,,,6
04/01/1/2/2/0069,85032519,85032519,,,2019-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.071189,6.0258846,0803-343-0340,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Hepatitis, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",8,No,No,Yes,No,No,1,,,1,,1,1,,,1,,,,,,
